Date,IsHoliday
11/2/2012,FALSE
11/9/2012,FALSE
11/16/2012,FALSE
11/23/2012,TRUE
11/30/2012,FALSE
12/7/2012,FALSE
12/14/2012,FALSE
12/21/2012,FALSE
12/28/2012,TRUE
1/4/2013,FALSE
1/11/2013,FALSE
1/18/2013,FALSE
1/25/2013,FALSE
2/1/2013,FALSE
2/8/2013,TRUE
2/15/2013,FALSE
2/22/2013,FALSE
3/1/2013,FALSE
3/8/2013,FALSE
3/15/2013,FALSE
3/22/2013,FALSE
3/29/2013,FALSE
4/5/2013,FALSE
4/12/2013,FALSE
4/19/2013,FALSE
4/26/2013,FALSE
5/3/2013,FALSE
5/10/2013,FALSE
5/17/2013,FALSE
5/24/2013,FALSE
5/31/2013,FALSE
6/7/2013,FALSE
6/14/2013,FALSE
6/21/2013,FALSE
6/28/2013,FALSE
7/5/2013,FALSE
7/12/2013,FALSE
7/19/2013,FALSE
7/26/2013,FALSE
